,cycle,population_active__t1,population_passive__t1,population_total__t1,mut_population_active__t1,mut_population_passive__t1,mut_population_total__t1,population_active__t2,population_passive__t2,population_total__t2,mut_population_active__t2,mut_population_passive__t2,mut_population_total__t2,population_active__t3,population_passive__t3,population_total__t3,mut_population_active__t3,mut_population_passive__t3,mut_population_total__t3
197,197,34,34,68,4,6,10,36,64,100,12,64,76,52,56,108,52,48,100
198,198,34,34,68,4,6,10,40,64,104,16,64,80,64,56,120,64,48,112
199,199,34,35,69,4,7,11,40,64,104,16,64,80,64,56,120,64,48,112
200,200,34,36,70,4,8,12,40,64,104,16,64,80,64,56,120,64,48,112
201,201,34,36,70,4,8,12,40,64,104,16,64,80,64,56,120,64,48,112
202,202,64,64,128,10,10,20,64,64,128,22,64,86,64,64,128,64,50,114
203,203,64,64,128,10,10,20,64,64,128,22,64,86,64,64,128,64,50,114
204,204,64,64,128,10,10,20,64,64,128,22,64,86,64,64,128,64,50,114
205,205,64,64,128,10,10,20,64,64,128,22,64,86,66,64,130,66,50,116
206,206,64,64,128,10,10,20,64,64,128,22,64,86,70,64,134,70,50,120
207,207,64,64,128,10,10,20,64,64,128,22,64,86,70,64,134,70,50,120
208,208,64,64,128,10,10,20,64,66,130,22,66,88,72,64,136,72,50,122
209,209,64,64,128,10,10,20,64,68,132,22,68,90,72,64,136,72,50,122
210,210,64,64,128,10,10,20,64,68,132,22,68,90,72,64,136,72,50,122
211,211,64,64,128,10,10,20,64,68,132,22,68,90,72,64,136,72,50,122
212,212,64,64,128,10,10,20,64,68,132,22,68,90,72,66,138,72,52,124
213,213,64,64,128,10,10,20,64,68,132,22,68,90,72,66,138,72,52,124
214,214,64,64,128,10,10,20,65,68,133,23,68,91,96,66,162,96,52,148
215,215,64,64,128,10,10,20,65,76,141,23,76,99,96,67,163,96,53,149
216,216,64,64,128,10,10,20,65,82,147,23,82,105,96,69,165,96,55,151
217,217,64,64,128,10,10,20,65,82,147,23,82,105,96,69,165,96,55,151
218,218,64,64,128,10,10,20,65,83,148,23,83,106,96,70,166,96,56,152
219,219,64,64,128,10,10,20,65,83,148,23,83,106,96,72,168,96,58,154
220,220,64,64,128,10,10,20,66,91,157,24,91,115,96,73,169,96,59,155
221,221,64,64,128,10,10,20,66,92,158,24,92,116,96,74,170,96,60,156
222,222,64,64,128,10,10,20,66,94,160,24,94,118,98,89,187,98,75,173
223,223,64,64,128,10,10,20,66,94,160,24,94,118,98,90,188,98,76,174
224,224,66,66,132,12,12,24,72,95,167,30,95,125,101,92,193,101,78,179
225,225,66,66,132,12,12,24,72,96,168,30,96,126,101,92,193,101,78,179
226,226,66,66,132,12,12,24,72,104,176,30,104,134,101,92,193,101,78,179
227,227,69,66,135,15,12,27,73,104,177,31,104,135,102,104,206,102,90,192
228,228,71,68,139,17,14,31,74,104,178,32,104,136,104,108,212,104,94,198
229,229,72,68,140,18,14,32,75,128,203,33,128,161,108,109,217,108,95,203
230,230,72,68,140,18,14,32,77,128,205,35,128,163,108,113,221,108,99,207
231,231,73,68,141,19,14,33,85,128,213,43,128,171,131,114,245,131,100,231
232,232,73,72,145,19,18,37,86,128,214,44,128,172,132,114,246,132,100,232
233,233,74,74,148,20,20,40,86,128,214,44,128,172,132,114,246,132,100,232
234,234,74,74,148,20,20,40,86,128,214,44,128,172,138,114,252,138,100,238
235,235,128,128,256,24,30,54,128,128,256,50,128,178,142,128,270,142,106,248
236,236,128,128,256,24,30,54,128,128,256,50,128,178,144,128,272,144,106,250
237,237,128,128,256,24,30,54,128,128,256,50,128,178,146,128,274,146,106,252
238,238,128,128,256,24,30,54,128,132,260,50,132,182,146,128,274,146,106,252
239,239,128,128,256,24,30,54,128,136,264,50,136,186,146,128,274,146,106,252
240,240,128,128,256,24,30,54,128,136,264,50,136,186,148,128,276,148,106,254
241,241,128,128,256,24,30,54,128,136,264,50,136,186,148,128,276,148,106,254
242,242,128,128,256,24,30,54,128,137,265,50,137,187,148,133,281,148,111,259
243,243,128,128,256,24,30,54,128,137,265,50,137,187,148,134,282,148,112,260
244,244,128,128,256,24,30,54,130,139,269,52,139,191,148,134,282,148,112,260
245,245,128,128,256,24,30,54,130,143,273,52,143,195,192,134,326,192,112,304
246,246,128,128,256,24,30,54,130,161,291,52,161,213,192,136,328,192,114,306
247,247,128,128,256,24,30,54,130,170,300,52,170,222,192,136,328,192,114,306
248,248,129,128,257,25,30,55,130,170,300,52,170,222,192,142,334,192,120,312
249,249,129,128,257,25,30,55,130,172,302,52,172,224,192,144,336,192,122,314
250,250,129,129,258,25,31,56,130,172,302,52,172,224,193,146,339,193,124,317
251,251,129,130,259,25,32,57,132,182,314,54,182,236,193,149,342,193,127,320
252,252,129,130,259,25,32,57,132,186,318,54,186,240,194,149,343,194,127,321
253,253,130,130,260,26,32,58,132,186,318,54,186,240,198,161,359,198,139,337
254,254,130,130,260,26,32,58,132,193,325,54,193,247,199,183,382,199,161,360
255,255,130,130,260,26,32,58,132,196,328,54,196,250,202,185,387,202,163,365
256,256,132,134,266,28,36,64,144,201,345,66,201,267,208,186,394,208,164,372
257,257,132,134,266,28,36,64,144,203,347,66,203,269,209,187,396,209,165,374
258,258,134,135,269,30,37,67,144,206,350,66,206,272,214,187,401,214,165,379
259,259,140,135,275,36,37,73,147,220,367,69,220,289,215,189,404,215,167,382
260,260,143,138,281,39,40,79,150,220,370,72,220,292,220,220,440,220,198,418
261,261,145,139,284,41,41,82,152,220,372,74,220,294,220,223,443,220,201,421
262,262,146,141,287,42,43,85,153,256,409,75,256,331,224,224,448,224,202,426
263,263,148,143,291,44,45,89,158,256,414,80,256,336,236,232,468,236,210,446
264,264,148,147,295,44,49,93,175,256,431,97,256,353,286,234,520,286,212,498
265,265,148,156,304,44,58,102,177,256,433,99,256,355,288,234,522,288,212,500
266,266,152,158,310,48,60,108,177,256,433,99,256,355,288,235,523,288,213,501
267,267,152,158,310,48,60,108,178,264,442,100,264,364,293,236,529,293,214,507
268,268,152,158,310,48,60,108,178,264,442,100,264,364,294,236,530,294,214,508
269,269,256,256,512,76,86,162,256,272,528,108,272,380,297,260,557,297,224,521
270,270,256,256,512,76,86,162,256,272,528,108,272,380,301,262,563,301,226,527
271,271,257,256,513,77,86,163,258,275,533,110,275,385,303,263,566,303,227,530
272,272,258,256,514,78,86,164,258,276,534,110,276,386,304,270,574,304,234,538
273,273,258,256,514,78,86,164,258,279,537,110,279,389,305,272,577,305,236,541
274,274,258,256,514,78,86,164,260,288,548,112,288,400,306,272,578,306,236,542
275,275,258,256,514,78,86,164,260,290,550,112,290,402,306,272,578,306,236,542
276,276,258,256,514,78,86,164,260,297,557,112,297,409,388,276,664,388,240,628
277,277,258,256,514,78,86,164,260,329,589,112,329,441,390,282,672,390,246,636
278,278,258,256,514,78,86,164,260,343,603,112,343,455,391,285,676,391,249,640
279,279,258,258,516,78,88,166,260,347,607,112,347,459,391,291,682,391,255,646
280,280,258,260,518,78,90,168,260,350,610,112,350,462,392,291,683,392,255,647
281,281,258,260,518,78,90,168,261,351,612,113,351,464,392,291,683,392,255,647
282,282,258,260,518,78,90,168,266,352,618,118,352,470,394,301,695,394,265,659
283,283,260,260,520,80,90,170,267,378,645,119,378,497,396,302,698,396,266,662
284,284,260,260,520,80,90,170,268,378,646,120,378,498,404,324,728,404,288,692
285,285,260,260,520,80,90,170,269,387,656,121,387,508,407,327,734,407,291,698
286,286,260,260,520,80,90,170,270,393,663,122,393,515,411,374,785,411,338,749
287,287,264,269,533,84,99,183,270,401,671,122,401,523,418,377,795,418,341,759
288,288,264,270,534,84,100,184,290,409,699,142,409,551,430,378,808,430,342,772
289,289,268,270,538,88,100,188,291,416,707,143,416,559,435,382,817,435,346,781
290,290,272,272,544,92,102,194,294,423,717,146,423,569,445,386,831,445,350,795
291,291,278,274,552,98,104,202,299,449,748,151,449,600,459,390,849,459,354,813
292,292,286,276,562,106,106,212,304,451,755,156,451,607,471,409,880,471,373,844
293,293,293,280,573,113,110,223,311,451,762,163,451,614,490,456,946,490,420,910
294,294,297,285,582,117,115,232,313,452,765,165,452,617,494,456,950,494,420,914
295,295,303,294,597,123,124,247,321,515,836,173,515,688,500,457,957,500,421,921
296,296,311,302,613,131,132,263,328,517,845,180,517,697,510,470,980,510,434,944
297,297,317,316,633,137,146,283,358,534,892,210,534,744,588,480,1068,588,444,1032
298,298,322,331,653,142,161,303,364,536,900,216,536,752,595,482,1077,595,446,1041
299,299,333,339,672,153,169,322,364,551,915,216,551,767,603,485,1088,603,449,1052
300,300,336,341,677,156,171,327,368,553,921,220,553,773,608,490,1098,608,454,1062
301,301,336,342,678,156,172,328,368,555,923,220,555,775,617,494,1111,617,458,1075
302,302,516,512,1028,194,202,396,516,557,1073,254,557,811,631,543,1174,631,489,1120
303,303,516,512,1028,194,202,396,516,572,1088,254,572,826,639,545,1184,639,491,1130
304,304,516,512,1028,194,202,396,520,580,1100,258,580,838,643,546,1189,643,492,1135
305,305,516,512,1028,194,202,396,522,587,1109,260,587,847,648,548,1196,648,494,1142
306,306,516,512,1028,194,202,396,522,596,1118,260,596,856,648,558,1206,648,504,1152
307,307,516,512,1028,194,202,396,522,601,1123,260,601,861,782,570,1352,782,516,1298
308,308,516,516,1032,194,206,400,522,664,1186,260,664,924,784,576,1360,784,522,1306
309,309,516,516,1032,194,206,400,523,694,1217,261,694,955,786,576,1362,786,522,1308
310,310,516,520,1036,194,210,404,524,710,1234,262,710,972,793,577,1370,793,523,1316
311,311,516,520,1036,194,210,404,527,713,1240,265,713,978,798,585,1383,798,531,1329
312,312,516,520,1036,194,210,404,530,714,1244,268,714,982,799,585,1384,799,531,1330
313,313,517,520,1037,195,210,405,536,726,1262,274,726,1000,799,599,1398,799,545,1344
314,314,522,520,1042,200,210,410,537,762,1299,275,762,1037,804,610,1414,804,556,1360
315,315,522,520,1042,200,210,410,540,767,1307,278,767,1045,817,644,1461,817,590,1407
316,316,522,520,1042,200,210,410,543,780,1323,281,780,1061,835,663,1498,835,609,1444
317,317,522,520,1042,200,210,410,544,797,1341,282,797,1079,853,674,1527,853,620,1473
318,318,522,525,1047,200,215,415,546,803,1349,284,803,1087,855,696,1551,855,642,1497
319,319,530,541,1071,208,231,439,546,821,1367,284,821,1105,855,705,1560,855,651,1506
320,320,544,541,1085,222,231,453,586,843,1429,324,843,1167,855,706,1561,855,652,1507
321,321,551,548,1099,229,238,467,590,854,1444,328,854,1182,855,706,1561,855,652,1507
322,322,555,553,1108,233,243,476,595,870,1465,333,870,1203,855,709,1564,855,655,1510
323,323,563,554,1117,241,244,485,610,882,1492,348,882,1230,855,711,1566,855,657,1512
324,324,581,563,1144,259,253,512,618,938,1556,356,938,1294,855,712,1567,855,658,1513
325,325,589,570,1159,267,260,527,634,945,1579,372,945,1317,855,712,1567,855,658,1513
326,326,597,586,1183,275,276,551,635,952,1587,373,952,1325,855,713,1568,855,659,1514
327,327,620,601,1221,298,291,589,635,952,1587,373,952,1325,855,714,1569,855,660,1515
328,328,632,614,1246,310,304,614,635,954,1589,373,954,1327,855,714,1569,855,660,1515
