,cycle,organismsize_variableRate__t1,organismsize_fixedRate__t1,organismsize_variableRate__t2,organismsize_fixedRate__t2,organismsize_variableRate__t3,organismsize_fixedRate__t3
50,50.0,736.5392696214984,250.0,736.5392696214984,250.0,736.5392696214984,250.0
51,51.0,752.7667137411581,253.0,752.7667137411581,253.0,752.7667137411581,253.0
52,52.0,769.0500236715496,256.0,769.0500236715496,256.0,769.0500236715496,256.0
53,53.0,785.3850964929032,259.0,785.3850964929032,259.0,785.3850964929032,259.0
54,54.0,801.7678952072082,262.0,801.7678952072082,262.0,801.7678952072082,262.0
55,55.0,818.1944493894139,265.0,818.1944493894139,265.0,818.1944493894139,265.0
56,56.0,834.6608557422404,268.0,834.6608557422404,268.0,834.6608557422404,268.0
57,57.0,851.1632785594599,271.0,851.1632785594599,271.0,851.1632785594599,271.0
58,58.0,867.6979501023221,274.0,867.6979501023221,274.0,867.6979501023221,274.0
59,59.0,884.2611708936115,277.0,884.2611708936115,277.0,884.2611708936115,277.0
60,60.0,900.8493099336436,280.0,900.8493099336436,280.0,900.8493099336436,280.0
61,61.0,917.4588048423409,283.0,917.4588048423409,283.0,917.4588048423409,283.0
62,62.0,934.0861619313564,286.0,934.0861619313564,286.0,934.0861619313564,286.0
63,63.0,950.727956210057,289.0,950.727956210057,289.0,950.727956210057,289.0
64,64.0,967.3808313290211,292.0,967.3808313290211,292.0,967.3808313290211,292.0
65,65.0,984.0414994645572,295.0,984.0414994645572,295.0,984.0414994645572,295.0
66,66.0,1000.7067411476041,298.0,1000.7067411476041,298.0,1000.7067411476041,298.0
67,67.0,1017.3734050402362,301.0,1017.3734050402362,301.0,1017.3734050402362,301.0
68,68.0,1034.0384076628604,304.0,1034.0384076628604,304.0,1034.0384076628604,304.0
69,69.0,1050.6987330750646,307.0,1050.6987330750646,307.0,1050.6987330750646,307.0
70,70.0,1067.3514325129509,310.0,1067.3514325129509,310.0,1067.3514325129509,310.0
71,71.0,1083.9936239856654,313.0,1083.9936239856654,313.0,1083.9936239856654,313.0
72,72.0,1100.6224918337261,316.0,1100.6224918337261,316.0,1100.6224918337261,316.0
73,73.0,1117.2352862516288,319.0,1117.2352862516288,319.0,1117.2352862516288,319.0
74,74.0,1133.8293227771132,322.0,1133.8293227771132,322.0,1133.8293227771132,322.0
75,75.0,1150.401981749362,325.0,1150.401981749362,325.0,1150.401981749362,325.0
76,76.0,1166.9507077383057,328.0,1166.9507077383057,328.0,1166.9507077383057,328.0
77,77.0,1183.4730089471143,331.0,1183.4730089471143,331.0,1183.4730089471143,331.0
78,78.0,1199.9664565898593,334.0,1199.9664565898593,334.0,1199.9664565898593,334.0
79,79.0,1216.4286842462411,337.0,1216.4286842462411,337.0,1216.4286842462411,337.0
80,80.0,1232.8573871951962,340.0,1232.8573871951962,340.0,1232.8573871951962,340.0
81,81.0,1249.2503217291066,343.0,1249.2503217291066,343.0,1249.2503217291066,343.0
82,82.0,1265.6053044502676,346.0,1265.6053044502676,346.0,1265.6053044502676,346.0
83,83.0,1281.9202115511764,349.0,1281.9202115511764,349.0,1281.9202115511764,349.0
84,84.0,1298.1929780801502,352.0,1298.1929780801502,352.0,1298.1929780801502,352.0
85,85.0,1314.4215971936933,355.0,1314.4215971936933,355.0,1314.4215971936933,355.0
86,86.0,1330.6041193969802,358.0,1330.6041193969802,358.0,1330.6041193969802,358.0
87,87.0,1346.7386517737434,361.0,1346.7386517737434,361.0,1346.7386517737434,361.0
88,88.0,1362.8233572068036,364.0,1362.8233572068036,364.0,1362.8233572068036,364.0
89,89.0,1378.8564535904104,367.0,1378.8564535904104,367.0,1378.8564535904104,367.0
90,90.0,1394.8362130355076,370.0,1394.8362130355076,370.0,1394.8362130355076,370.0
91,91.0,1410.7609610689844,373.0,1410.7609610689844,373.0,1410.7609610689844,373.0
92,92.0,1426.6290758279133,376.0,1426.6290758279133,376.0,1426.6290758279133,376.0
93,93.0,1442.438987249731,379.0,1442.438987249731,379.0,1442.438987249731,379.0
94,94.0,1458.189176259267,382.0,1458.189176259267,382.0,1458.189176259267,382.0
95,95.0,1473.8781739534732,385.0,1473.8781739534732,385.0,1473.8781739534732,385.0
96,96.0,1489.5045607846712,388.0,1489.5045607846712,388.0,1489.5045607846712,388.0
97,97.0,1505.0669657430826,391.0,1505.0669657430826,391.0,1505.0669657430826,391.0
98,98.0,1520.5640655393695,394.0,1520.5640655393695,394.0,1520.5640655393695,394.0
99,99.0,1535.9945837878715,397.0,1535.9945837878715,397.0,1535.9945837878715,397.0
100,100.0,1551.3572901911887,400.0,1551.3572901911887,400.0,1551.3572901911887,400.0
101,101.0,1566.6509997267192,403.0,1566.6509997267192,403.0,1566.6509997267192,403.0
102,102.0,1581.874571835731,406.0,1581.874571835731,406.0,1581.874571835731,406.0
103,103.0,1597.026909615508,409.0,1597.026909615508,409.0,1597.026909615508,409.0
104,104.0,1612.1069590150812,412.0,1612.1069590150812,412.0,1612.1069590150812,412.0
105,105.0,1627.1137080350245,415.0,1627.1137080350245,415.0,1627.1137080350245,415.0
106,106.0,1642.0461859317643,418.0,1642.0461859317643,418.0,1642.0461859317643,418.0
107,107.0,1656.9034624268234,421.0,1656.9034624268234,421.0,1656.9034624268234,421.0
108,108.0,1671.6846469213945,424.0,1671.6846469213945,424.0,1671.6846469213945,424.0
109,109.0,1686.388887716611,427.0,1686.388887716611,427.0,1686.388887716611,427.0
110,110.0,1701.0153712398564,430.0,1701.0153712398564,430.0,1701.0153712398564,430.0
111,111.0,1715.5633212774367,433.0,1715.5633212774367,433.0,1715.5633212774367,433.0
112,112.0,1730.0319982139051,436.0,1730.0319982139051,436.0,1730.0319982139051,436.0
113,113.0,1744.4206982783219,439.0,1744.4206982783219,439.0,1744.4206982783219,439.0
114,114.0,1758.728752797698,442.0,1758.728752797698,442.0,1758.728752797698,442.0
115,115.0,1772.955527457862,445.0,1772.955527457862,445.0,1772.955527457862,445.0
116,116.0,1787.1004215719604,448.0,1787.1004215719604,448.0,1787.1004215719604,448.0
117,117.0,1801.1628673567948,451.0,1801.1628673567948,451.0,1801.1628673567948,451.0
118,118.0,1815.1423292171723,454.0,1815.1423292171723,454.0,1815.1423292171723,454.0
119,119.0,1829.0383030384373,457.0,1829.0383030384373,457.0,1829.0383030384373,457.0
120,120.0,1842.8503154873279,460.0,1842.8503154873279,460.0,1842.8503154873279,460.0
121,121.0,1856.577923321298,463.0,1856.577923321298,463.0,1856.577923321298,463.0
122,122.0,1870.220712706417,466.0,1870.220712706417,466.0,1870.220712706417,466.0
123,123.0,1883.7782985439603,469.0,1883.7782985439603,469.0,1883.7782985439603,469.0
124,124.0,1897.2503238057773,472.0,1897.2503238057773,472.0,1897.2503238057773,472.0
125,125.0,1910.6364588785245,475.0,1910.6364588785245,475.0,1910.6364588785245,475.0
126,126.0,1923.9364009168287,478.0,1923.9364009168287,478.0,1923.9364009168287,478.0
127,127.0,1937.149873205441,481.0,1937.149873205441,481.0,1937.149873205441,481.0
128,128.0,1950.27662453043,484.0,1950.27662453043,484.0,1950.27662453043,484.0
129,129.0,1963.316428559449,487.0,1963.316428559449,487.0,1963.316428559449,487.0
130,130.0,1976.2690832311127,490.0,1976.2690832311127,490.0,1976.2690832311127,490.0
131,131.0,1989.1344101534971,493.0,1989.1344101534971,493.0,1989.1344101534971,493.0
132,132.0,2001.9122540117767,496.0,2001.9122540117767,496.0,2001.9122540117767,496.0
133,133.0,2014.602481985003,499.0,2014.602481985003,499.0,2014.602481985003,499.0
134,134.0,2027.20498317202,502.0,2027.20498317202,502.0,2027.20498317202,502.0
135,135.0,2039.7196680265056,505.0,2039.7196680265056,505.0,2039.7196680265056,505.0
136,136.0,2052.1464678011175,508.0,2052.1464678011175,508.0,2052.1464678011175,508.0
137,137.0,2064.48533400073,511.0,2064.48533400073,511.0,2064.48533400073,511.0
138,138.0,2076.7362378447147,514.0,2076.7362378447147,514.0,2076.7362378447147,514.0
139,139.0,2088.89916973825,517.0,2088.89916973825,517.0,2088.89916973825,517.0
140,140.0,2100.974138752598,520.0,2100.974138752598,520.0,2100.974138752598,520.0
141,141.0,2112.9611721143165,523.0,2112.9611721143165,523.0,2112.9611721143165,523.0
142,142.0,2124.8603147033514,526.0,2124.8603147033514,526.0,2124.8603147033514,526.0
143,143.0,2136.6716285599523,529.0,2136.6716285599523,529.0,2136.6716285599523,529.0
144,144.0,2148.395192400356,532.0,2148.395192400356,532.0,2148.395192400356,532.0
145,145.0,2160.031101141171,535.0,2160.031101141171,535.0,2160.031101141171,535.0
146,146.0,2171.5794654324013,538.0,2171.5794654324013,538.0,2171.5794654324013,538.0
147,147.0,2183.040411199034,541.0,2183.040411199034,541.0,2183.040411199034,541.0
148,148.0,2194.4140791911236,544.0,2194.4140791911236,544.0,2194.4140791911236,544.0
149,149.0,2205.7006245422895,547.0,2205.7006245422895,547.0,2205.7006245422895,547.0
150,150.0,2216.900216336562,550.0,2216.900216336562,550.0,2216.900216336562,550.0
151,151.0,2228.0130371834784,553.0,2228.0130371834784,553.0,2228.0130371834784,553.0
152,152.0,2239.0392828013614,556.0,2239.0392828013614,556.0,2239.0392828013614,556.0
153,153.0,2249.979161608685,559.0,2249.979161608685,559.0,2249.979161608685,559.0
154,154.0,2260.8328943234474,562.0,2260.8328943234474,562.0,2260.8328943234474,562.0
155,155.0,2271.6007135704567,565.0,2271.6007135704567,565.0,2271.6007135704567,565.0
156,156.0,2282.2828634964444,568.0,2282.2828634964444,568.0,2282.2828634964444,568.0
157,157.0,2292.8795993929107,571.0,2292.8795993929107,571.0,2292.8795993929107,571.0
158,158.0,2303.3911873266134,574.0,2303.3911873266134,574.0,2303.3911873266134,574.0
159,159.0,2313.8179037776017,577.0,2313.8179037776017,577.0,2313.8179037776017,577.0
160,160.0,2324.1600352847054,580.0,2324.1600352847054,580.0,2324.1600352847054,580.0
161,161.0,2334.4178780983784,583.0,2334.4178780983784,583.0,2334.4178780983784,583.0
162,162.0,2344.591737840804,586.0,2344.591737840804,586.0,2344.591737840804,586.0
163,163.0,2354.6819291731636,589.0,2354.6819291731636,589.0,2354.6819291731636,589.0
164,164.0,2364.688775469973,592.0,2364.688775469973,592.0,2364.688775469973,592.0
165,165.0,2374.612608500384,595.0,2374.612608500384,595.0,2374.612608500384,595.0
166,166.0,2384.4537681163592,598.0,2384.4537681163592,598.0,2384.4537681163592,598.0
167,167.0,2394.212601947619,601.0,2394.212601947619,601.0,2394.212601947619,601.0
168,168.0,2403.889465103259,604.0,2403.889465103259,604.0,2403.889465103259,604.0
169,169.0,2413.4847198799466,607.0,2413.4847198799466,607.0,2413.4847198799466,607.0
170,170.0,2422.998735476591,610.0,2422.998735476591,610.0,2422.998735476591,610.0
171,171.0,2432.4318877153937,613.0,2432.4318877153937,613.0,2432.4318877153937,613.0
172,172.0,2441.784558769179,616.0,2441.784558769179,616.0,2441.784558769179,616.0
173,173.0,2451.057136894907,619.0,2451.057136894907,619.0,2451.057136894907,619.0
174,174.0,2460.2500161732723,622.0,2460.2500161732723,622.0,2460.2500161732723,622.0
175,175.0,2469.3635962542885,625.0,2469.3635962542885,625.0,2469.3635962542885,625.0
176,176.0,2478.398282108768,628.0,2478.398282108768,628.0,2478.398282108768,628.0
177,177.0,2487.3544837855925,631.0,2487.3544837855925,631.0,2487.3544837855925,631.0
178,178.0,2496.232616174687,634.0,2496.232616174687,634.0,2496.232616174687,634.0
179,179.0,2505.0330987755956,637.0,2505.0330987755956,637.0,2505.0330987755956,637.0
180,180.0,2513.7563554715693,640.0,2513.7563554715693,640.0,2513.7563554715693,640.0
181,181.0,2522.402814309068,643.0,2522.402814309068,643.0,2522.402814309068,643.0
182,182.0,2530.972907282588,646.0,2530.972907282588,646.0,2530.972907282588,646.0
183,183.0,2539.4670701247164,649.0,2539.4670701247164,649.0,2539.4670701247164,649.0
184,184.0,2547.885742101331,652.0,2547.885742101331,652.0,2547.885742101331,652.0
185,185.0,2556.229365811842,655.0,2556.229365811842,655.0,2556.229365811842,655.0
186,186.0,2564.4983869943976,658.0,2564.4983869943976,658.0,2564.4983869943976,658.0
187,187.0,2572.6932543359558,661.0,2572.6932543359558,661.0,2572.6932543359558,661.0
188,188.0,2580.8144192871378,664.0,2580.8144192871378,664.0,2580.8144192871378,664.0
189,189.0,2588.8623358817763,667.0,2588.8623358817763,667.0,2588.8623358817763,667.0
190,190.0,2596.8374605610716,670.0,2596.8374605610716,670.0,2596.8374605610716,670.0
191,191.0,2604.740252002267,673.0,2604.740252002267,673.0,2604.740252002267,673.0
192,192.0,2612.5711709517655,676.0,2612.5711709517655,676.0,2612.5711709517655,676.0
193,193.0,2620.3306800625955,679.0,2620.3306800625955,679.0,2620.3306800625955,679.0
194,194.0,2628.0192437361525,682.0,2628.0192437361525,682.0,2628.0192437361525,682.0
195,195.0,2635.637327968127,685.0,2635.637327968127,685.0,2635.637327968127,685.0
196,196.0,2643.185400198544,688.0,2643.185400198544,688.0,2643.185400198544,688.0
197,197.0,2650.6639291658266,691.0,2650.6639291658266,691.0,2650.6639291658266,691.0
198,198.0,2658.0733847648194,694.0,2658.0733847648194,694.0,2658.0733847648194,694.0
199,199.0,2665.414237908675,697.0,2665.414237908675,697.0,2665.414237908675,697.0
200,200.0,2672.6869603945443,700.0,2672.6869603945443,700.0,2672.6869603945443,700.0
201,201.0,2679.8920247729834,703.0,2679.8920247729834,703.0,2679.8920247729834,703.0
202,202.0,2687.0299042210104,706.0,2687.0299042210104,706.0,2687.0299042210104,706.0
203,203.0,2694.1010724187317,709.0,2694.1010724187317,709.0,2694.1010724187317,709.0
204,204.0,2701.1060034294715,712.0,2701.1060034294715,712.0,2701.1060034294715,712.0
205,205.0,2708.0451715833287,715.0,2708.0451715833287,715.0,2708.0451715833287,715.0
206,206.0,2714.9190513640956,718.0,2714.9190513640956,718.0,2714.9190513640956,718.0
207,207.0,2721.7281172994612,721.0,2721.7281172994612,721.0,2721.7281172994612,721.0
208,208.0,2728.4728438544394,724.0,2728.4728438544394,724.0,2728.4728438544394,724.0
209,209.0,2735.1537053279503,727.0,2735.1537053279503,727.0,2735.1537053279503,727.0
210,210.0,2741.771175752488,730.0,2741.771175752488,730.0,2741.771175752488,730.0
211,211.0,2748.325728796811,733.0,2748.325728796811,733.0,2748.325728796811,733.0
212,212.0,2754.8178376715914,736.0,2754.8178376715914,736.0,2754.8178376715914,736.0
213,213.0,2761.24797503796,739.0,2761.24797503796,739.0,2761.24797503796,739.0
214,214.0,2767.61661291888,742.0,2767.61661291888,742.0,2767.61661291888,742.0
215,215.0,2773.9242226132983,745.0,2773.9242226132983,745.0,2773.9242226132983,745.0
216,216.0,2780.1712746130024,748.0,2780.1712746130024,748.0,2780.1712746130024,748.0
217,217.0,2786.358238522132,751.0,2786.358238522132,751.0,2786.358238522132,751.0
218,218.0,2792.4855829792864,754.0,2792.4855829792864,754.0,2792.4855829792864,754.0
219,219.0,2798.5537755821642,757.0,2798.5537755821642,757.0,2798.5537755821642,757.0
220,220.0,2804.5632828146863,760.0,2804.5632828146863,760.0,2804.5632828146863,760.0
221,221.0,2810.514569976544,763.0,2810.514569976544,763.0,2810.514569976544,763.0
222,222.0,2816.4081011151147,766.0,2816.4081011151147,766.0,2816.4081011151147,766.0
223,223.0,2822.2443389596992,769.0,2822.2443389596992,769.0,2822.2443389596992,769.0
224,224.0,2828.02374485802,772.0,2828.02374485802,772.0,2828.02374485802,772.0
225,225.0,2833.7467787149344,775.0,2833.7467787149344,775.0,2833.7467787149344,775.0
226,226.0,2839.4138989333082,778.0,2839.4138989333082,778.0,2839.4138989333082,778.0
227,227.0,2845.0255623570047,781.0,2845.0255623570047,781.0,2845.0255623570047,781.0
228,228.0,2850.5822242159347,784.0,2850.5822242159347,784.0,2850.5822242159347,784.0
229,229.0,2856.084338073125,787.0,2856.084338073125,787.0,2856.084338073125,787.0
230,230.0,2861.532355773751,790.0,2861.532355773751,790.0,2861.532355773751,790.0
231,231.0,2866.9267273960972,793.0,2866.9267273960972,793.0,2866.9267273960972,793.0
232,232.0,2872.267901204389,796.0,2872.267901204389,796.0,2872.267901204389,796.0
233,233.0,2877.5563236034614,799.0,2877.5563236034614,799.0,2877.5563236034614,799.0
234,234.0,2882.792439095212,802.0,2882.792439095212,802.0,2882.792439095212,802.0
235,235.0,2887.9766902368046,805.0,2887.9766902368046,805.0,2887.9766902368046,805.0
236,236.0,2893.109517600571,808.0,2893.109517600571,808.0,2893.109517600571,808.0
237,237.0,2898.191359735579,811.0,2898.191359735579,811.0,2898.191359735579,811.0
238,238.0,2903.2226531308197,814.0,2903.2226531308197,814.0,2903.2226531308197,814.0
239,239.0,2908.2038321799764,817.0,2908.2038321799764,817.0,2908.2038321799764,817.0
240,240.0,2913.1353291477403,820.0,2913.1353291477403,820.0,2913.1353291477403,820.0
241,241.0,2918.0175741376256,823.0,2918.0175741376256,823.0,2918.0175741376256,823.0
242,242.0,2922.850995061256,826.0,2922.850995061256,826.0,2922.850995061256,826.0
243,243.0,2927.6360176090784,829.0,2927.6360176090784,829.0,2927.6360176090784,829.0
244,244.0,2932.373065222475,832.0,2932.373065222475,832.0,2932.373065222475,832.0
245,245.0,2937.06255906723,835.0,2937.06255906723,835.0,2937.06255906723,835.0
246,246.0,2941.7049180083236,838.0,2941.7049180083236,838.0,2941.7049180083236,838.0
247,247.0,2946.300558586019,841.0,2946.300558586019,841.0,2946.300558586019,841.0
248,248.0,2950.849894993202,844.0,2950.849894993202,844.0,2950.849894993202,844.0
249,249.0,2955.3533390539465,847.0,2955.3533390539465,847.0,2955.3533390539465,847.0
250,250.0,2959.8113002032774,850.0,2959.8113002032774,850.0,2959.8113002032774,850.0
251,251.0,2964.224185468091,853.0,2964.224185468091,853.0,2964.224185468091,853.0
252,252.0,2968.5923994492073,856.0,2968.5923994492073,856.0,2968.5923994492073,856.0
253,253.0,2972.9163443045254,859.0,2972.9163443045254,859.0,2972.9163443045254,859.0
254,254.0,2977.196419733249,862.0,2977.196419733249,862.0,2977.196419733249,862.0
255,255.0,2981.4330229611564,865.0,2981.4330229611564,865.0,2981.4330229611564,865.0
256,256.0,2985.6265487268843,868.0,2985.6265487268843,868.0,2985.6265487268843,868.0
257,257.0,2989.7773892692003,871.0,2989.7773892692003,871.0,2989.7773892692003,871.0
258,258.0,2993.8859343152367,874.0,2993.8859343152367,874.0,2993.8859343152367,874.0
259,259.0,2997.952571069656,877.0,2997.952571069656,877.0,2997.952571069656,877.0
260,260.0,3001.977684204727,880.0,3001.977684204727,880.0,3001.977684204727,880.0
261,261.0,3005.9616558512826,883.0,3005.9616558512826,883.0,3005.9616558512826,883.0
262,262.0,3009.904865590538,886.0,3009.904865590538,886.0,3009.904865590538,886.0
263,263.0,3013.807690446742,889.0,3013.807690446742,889.0,3013.807690446742,889.0
264,264.0,3017.670504880637,892.0,3017.670504880637,892.0,3017.670504880637,892.0
265,265.0,3021.4936807837103,895.0,3021.4936807837103,895.0,3021.4936807837103,895.0
266,266.0,3025.2775874732065,898.0,3025.2775874732065,898.0,3025.2775874732065,898.0
267,267.0,3029.022591687885,901.0,3029.022591687885,901.0,3029.022591687885,901.0
268,268.0,3032.7290575844963,904.0,3032.7290575844963,904.0,3032.7290575844963,904.0
269,269.0,3036.397346734962,907.0,3036.397346734962,907.0,3036.397346734962,907.0
270,270.0,3040.0278181242275,910.0,3040.0278181242275,910.0,3040.0278181242275,910.0
271,271.0,3043.6208281487784,913.0,3043.6208281487784,913.0,3043.6208281487784,913.0
272,272.0,3047.1767306157967,916.0,3047.1767306157967,916.0,3047.1767306157967,916.0
273,273.0,3050.6958767429314,919.0,3050.6958767429314,919.0,3050.6958767429314,919.0
274,274.0,3054.1786151586743,922.0,3054.1786151586743,922.0,3054.1786151586743,922.0
275,275.0,3057.6252919033163,925.0,3057.6252919033163,925.0,3057.6252919033163,925.0
276,276.0,3061.0362504304685,928.0,3061.0362504304685,928.0,3061.0362504304685,928.0
277,277.0,3064.4118316091294,931.0,3064.4118316091294,931.0,3064.4118316091294,931.0
278,278.0,3067.7523737262804,934.0,3067.7523737262804,934.0,3067.7523737262804,934.0
279,279.0,3071.058212489995,937.0,3071.058212489995,937.0,3071.058212489995,937.0
280,280.0,3074.3296810330457,940.0,3074.3296810330457,940.0,3074.3296810330457,940.0
281,281.0,3077.5671099169845,943.0,3077.5671099169845,943.0,3077.5671099169845,943.0
282,282.0,3080.770827136695,946.0,3080.770827136695,946.0,3080.770827136695,946.0
283,283.0,3083.941158125388,949.0,3083.941158125388,949.0,3083.941158125388,949.0
284,284.0,3087.078425760034,952.0,3087.078425760034,952.0,3087.078425760034,952.0
285,285.0,3090.182950367211,955.0,3090.182950367211,955.0,3090.182950367211,955.0
286,286.0,3093.2550497293637,958.0,3093.2550497293637,958.0,3093.2550497293637,958.0
287,287.0,3096.295039091446,961.0,3096.295039091446,961.0,3096.295039091446,961.0
288,288.0,3099.3032311679467,964.0,3099.3032311679467,964.0,3099.3032311679467,964.0
289,289.0,3102.2799361502757,967.0,3102.2799361502757,967.0,3102.2799361502757,967.0
290,290.0,3105.2254617145036,970.0,3105.2254617145036,970.0,3105.2254617145036,970.0
291,291.0,3108.1401130294375,973.0,3108.1401130294375,973.0,3108.1401130294375,973.0
292,292.0,3111.024192765026,976.0,3111.024192765026,976.0,3111.024192765026,976.0
293,293.0,3113.878001101074,979.0,3113.878001101074,979.0,3113.878001101074,979.0
294,294.0,3116.701835736264,982.0,3116.701835736264,982.0,3116.701835736264,982.0
295,295.0,3119.4959918974646,985.0,3119.4959918974646,985.0,3119.4959918974646,985.0
296,296.0,3122.2607623493213,988.0,3122.2607623493213,988.0,3122.2607623493213,988.0
297,297.0,3124.9964374041156,991.0,3124.9964374041156,991.0,3124.9964374041156,991.0
298,298.0,3127.7033049318798,994.0,3127.7033049318798,994.0,3127.7033049318798,994.0
299,299.0,3130.3816503707626,997.0,3130.3816503707626,997.0,3130.3816503707626,997.0
300,300.0,3133.0317567376323,1000.0,3133.0317567376323,1000.0,3133.0317567376323,1000.0
301,301.0,3135.6539046389044,1003.0,3135.6539046389044,1003.0,3135.6539046389044,1003.0
302,302.0,3138.248372281591,1006.0,3138.248372281591,1006.0,3138.248372281591,1006.0
303,303.0,3140.815435484557,1009.0,3140.815435484557,1009.0,3140.815435484557,1009.0
304,304.0,3143.355367689977,1012.0,3143.355367689977,1012.0,3143.355367689977,1012.0
305,305.0,3145.8684399749823,1015.0,3145.8684399749823,1015.0,3145.8684399749823,1015.0
306,306.0,3148.3549210634915,1018.0,3148.3549210634915,1018.0,3148.3549210634915,1018.0
307,307.0,3150.8150773382126,1021.0,3150.8150773382126,1021.0,3150.8150773382126,1021.0
308,308.0,3153.2491728528125,1024.0,3153.2491728528125,1024.0,3153.2491728528125,1024.0
309,309.0,3155.657469344243,1027.0,3155.657469344243,1027.0,3155.657469344243,1027.0
310,310.0,3158.0402262452176,1030.0,3158.0402262452176,1030.0,3158.0402262452176,1030.0
311,311.0,3160.3977006968294,1033.0,3160.3977006968294,1033.0,3160.3977006968294,1033.0
312,312.0,3162.730147561304,1036.0,3162.730147561304,1036.0,3162.730147561304,1036.0
313,313.0,3165.037819434881,1039.0,3165.037819434881,1039.0,3165.037819434881,1039.0
314,314.0,3167.320966660815,1042.0,3167.320966660815,1042.0,3167.320966660815,1042.0
315,315.0,3169.5798373424905,1045.0,3169.5798373424905,1045.0,3169.5798373424905,1045.0
