,cycle,population_active__t1,population_passive__t1,population_total__t1,food_crates__t1,organism_positions__t1,population_active__t2,population_passive__t2,population_total__t2,food_crates__t2,organism_positions__t2,population_active__t3,population_passive__t3,population_total__t3,food_crates__t3,organism_positions__t3
21,21,1,1,2,"[[5, 47, 62.0], [23, 31, 62.0], [11, 34, 62.0], [4, 50, 20.0], [7, 18, 10.0]]","[[23, 30, 'passive'], [29, 31, 'active']]",1,1,2,"[[1, 14, 62.0], [11, 27, 62.0], [33, 35, 26.0], [23, 2, 12.0], [0, 17, 2.0]]","[[50, 7, 'active'], [50, 7, 'passive']]",1,1,2,"[[22, 10, 62.0], [0, 28, 62.0], [0, 36, 30.0], [41, 27, 12.0], [16, 37, 10.0]]","[[22, 10, 'passive'], [1, 39, 'active']]"
22,22,1,1,2,"[[5, 47, 64.0], [23, 31, 64.0], [11, 34, 64.0], [4, 50, 22.0], [7, 18, 12.0]]","[[26, 31, 'active'], [23, 31, 'passive']]",1,1,2,"[[1, 14, 64.0], [11, 27, 64.0], [33, 35, 28.0], [23, 2, 14.0], [0, 17, 4.0]]","[[38, 3, 'passive'], [48, 7, 'active']]",1,1,2,"[[22, 10, 56.0], [0, 28, 64.0], [0, 36, 32.0], [41, 27, 14.0], [16, 37, 12.0]]","[[0, 37, 'active'], [22, 10, 'passive']]"
23,23,1,1,2,"[[5, 47, 66.0], [23, 31, 58.0], [11, 34, 66.0], [4, 50, 24.0], [7, 18, 14.0]]","[[23, 31, 'passive'], [26, 31, 'active']]",1,1,2,"[[1, 14, 66.0], [11, 27, 66.0], [33, 35, 30.0], [23, 2, 16.0], [0, 17, 6.0]]","[[27, 3, 'active'], [28, 2, 'passive']]",1,1,2,"[[22, 10, 50.0], [0, 28, 66.0], [0, 36, 34.0], [41, 27, 16.0], [16, 37, 14.0]]","[[22, 10, 'passive'], [0, 37, 'active']]"
24,24,1,1,2,"[[5, 47, 68.0], [23, 31, 52.0], [11, 34, 68.0], [4, 50, 26.0], [7, 18, 16.0]]","[[23, 31, 'passive'], [23, 31, 'active']]",1,1,2,"[[1, 14, 68.0], [11, 27, 68.0], [33, 35, 32.0], [23, 2, 18.0], [0, 17, 8.0]]","[[26, 2, 'active'], [25, 2, 'passive']]",1,1,2,"[[22, 10, 44.0], [0, 28, 68.0], [0, 36, 36.0], [41, 27, 18.0], [16, 37, 16.0]]","[[0, 37, 'active'], [22, 10, 'passive']]"
25,25,1,1,2,"[[5, 47, 70.0], [23, 31, 36.0], [11, 34, 70.0], [4, 50, 28.0], [7, 18, 18.0]]","[[23, 31, 'active'], [23, 31, 'passive']]",1,1,2,"[[1, 14, 70.0], [11, 27, 70.0], [33, 35, 34.0], [23, 2, 20.0], [0, 17, 10.0]]","[[23, 2, 'active'], [24, 2, 'passive']]",1,1,2,"[[22, 10, 38.0], [0, 28, 70.0], [0, 36, 38.0], [41, 27, 20.0], [16, 37, 18.0]]","[[22, 10, 'passive'], [0, 36, 'active']]"
26,26,1,1,2,"[[5, 47, 72.0], [23, 31, 20.0], [11, 34, 72.0], [4, 50, 30.0], [7, 18, 20.0]]","[[23, 31, 'active'], [23, 31, 'passive']]",1,1,2,"[[1, 14, 72.0], [11, 27, 72.0], [33, 35, 36.0], [23, 2, 12.0], [0, 17, 12.0]]","[[23, 2, 'active'], [23, 2, 'passive']]",1,1,2,"[[22, 10, 32.0], [0, 28, 72.0], [0, 36, 30.0], [41, 27, 22.0], [16, 37, 20.0]]","[[0, 36, 'active'], [22, 10, 'passive']]"
27,27,1,1,2,"[[5, 47, 74.0], [23, 31, 4.0], [11, 34, 74.0], [4, 50, 32.0], [7, 18, 22.0]]","[[23, 31, 'active'], [23, 31, 'passive']]",1,1,2,"[[1, 14, 74.0], [11, 27, 74.0], [33, 35, 38.0], [0, 17, 14.0], [20, 27, 2.0]]","[[23, 2, 'active'], [23, 2, 'passive']]",1,1,2,"[[22, 10, 26.0], [0, 28, 74.0], [0, 36, 22.0], [41, 27, 24.0], [16, 37, 22.0]]","[[22, 10, 'passive'], [0, 36, 'active']]"
28,28,1,1,2,"[[5, 47, 76.0], [11, 34, 76.0], [4, 50, 34.0], [7, 18, 24.0], [31, 15, 2.0]]","[[23, 31, 'passive'], [19, 31, 'active']]",1,1,2,"[[1, 14, 76.0], [11, 27, 76.0], [33, 35, 40.0], [0, 17, 16.0], [20, 27, 4.0]]","[[7, 9, 'passive'], [6, 10, 'active']]",1,1,2,"[[22, 10, 20.0], [0, 28, 76.0], [0, 36, 14.0], [41, 27, 26.0], [16, 37, 24.0]]","[[22, 10, 'passive'], [0, 36, 'active']]"
29,29,1,1,2,"[[5, 47, 78.0], [11, 34, 78.0], [4, 50, 36.0], [7, 18, 26.0], [31, 15, 4.0]]","[[17, 33, 'passive'], [11, 34, 'active']]",1,1,2,"[[1, 14, 78.0], [11, 27, 78.0], [33, 35, 42.0], [0, 17, 18.0], [20, 27, 6.0]]","[[3, 14, 'active'], [2, 14, 'passive']]",1,1,2,"[[22, 10, 14.0], [0, 28, 78.0], [0, 36, 6.0], [41, 27, 28.0], [16, 37, 26.0]]","[[22, 10, 'passive'], [0, 36, 'active']]"
30,30,1,1,2,"[[5, 47, 80.0], [11, 34, 70.0], [4, 50, 38.0], [7, 18, 28.0], [31, 15, 6.0]]","[[15, 34, 'passive'], [11, 34, 'active']]",1,1,2,"[[1, 14, 80.0], [11, 27, 80.0], [33, 35, 44.0], [0, 17, 20.0], [20, 27, 8.0]]","[[1, 14, 'passive'], [3, 14, 'active']]",1,1,2,"[[22, 10, 8.0], [0, 28, 80.0], [0, 36, -2.0], [41, 27, 30.0], [16, 37, 28.0]]","[[22, 10, 'passive'], [0, 36, 'active']]"
