,cycle,population_active__t1,population_passive__t1,population_total__t1,population_active__t2,population_passive__t2,population_total__t2,population_active__t3,population_passive__t3,population_total__t3
194,194,32,32,64,32,32,64,32,32,64
195,195,32,32,64,32,32,64,32,32,64
196,196,32,32,64,32,32,64,32,32,64
197,197,32,32,64,32,32,64,32,32,64
198,198,32,32,64,32,32,64,32,32,64
199,199,32,32,64,32,32,64,32,32,64
200,200,32,32,64,32,32,64,32,32,64
201,201,32,32,64,32,32,64,32,32,64
202,202,64,64,128,64,64,128,64,64,128
203,203,64,64,128,64,64,128,64,64,128
204,204,64,64,128,64,64,128,64,64,128
205,205,64,64,128,64,64,128,64,64,128
206,206,64,64,128,64,64,128,64,64,128
207,207,64,64,128,64,64,128,64,64,128
208,208,64,64,128,64,64,128,64,64,128
209,209,64,64,128,64,64,128,64,64,128
210,210,64,64,128,64,64,128,64,64,128
211,211,64,64,128,64,64,128,64,64,128
212,212,64,64,128,64,64,128,64,64,128
213,213,64,64,128,64,64,128,64,64,128
214,214,64,64,128,64,64,128,64,64,128
215,215,64,64,128,64,64,128,64,64,128
216,216,64,64,128,64,64,128,64,64,128
217,217,64,64,128,64,64,128,64,64,128
218,218,64,64,128,64,64,128,64,64,128
219,219,64,64,128,64,64,128,64,64,128
220,220,64,64,128,64,64,128,64,64,128
221,221,64,64,128,64,64,128,64,64,128
222,222,64,64,128,64,64,128,64,64,128
223,223,64,64,128,64,64,128,64,64,128
224,224,64,64,128,64,64,128,64,64,128
225,225,64,64,128,64,64,128,64,64,128
226,226,64,64,128,64,64,128,64,64,128
227,227,64,64,128,64,64,128,64,64,128
228,228,64,64,128,64,64,128,64,64,128
229,229,64,64,128,64,64,128,64,64,128
230,230,64,64,128,64,64,128,64,64,128
231,231,64,64,128,64,64,128,64,64,128
232,232,64,64,128,64,64,128,64,64,128
233,233,64,64,128,64,64,128,64,64,128
234,234,64,64,128,64,64,128,64,64,128
235,235,128,128,256,128,128,256,128,128,256
236,236,128,128,256,128,128,256,128,128,256
237,237,128,128,256,128,128,256,128,128,256
238,238,128,128,256,128,128,256,128,128,256
239,239,128,128,256,128,128,256,128,128,256
240,240,128,128,256,128,128,256,128,128,256
241,241,128,128,256,128,128,256,128,128,256
242,242,128,128,256,128,128,256,128,128,256
243,243,128,128,256,128,128,256,128,128,256
244,244,128,128,256,128,128,256,128,128,256
245,245,128,128,256,128,128,256,128,128,256
246,246,128,128,256,128,128,256,128,128,256
247,247,128,128,256,128,128,256,128,128,256
248,248,128,128,256,128,128,256,128,128,256
249,249,128,128,256,128,128,256,128,128,256
250,250,128,128,256,128,128,256,128,128,256
